MarketName;TimeStamp;Volume;Last;OpenSellOrders;OpenBuyOrders;Bid;Ask;
BTC-DOGE;2018-01-02T16:11:11.027;1831084731.2;0.000000660;14924;5163;0.000000650;0.000000660;
BTC-DOGE;2018-01-02T16:16:09.21;1829064032.07;0.000000650;14949;5172;0.000000650;0.000000660;
BTC-DOGE;2018-01-02T16:21:06.39;1828508667.08;0.000000660;14942;5200;0.000000650;0.000000660;
BTC-DOGE;2018-01-02T16:26:15.35;1826466221.37;0.000000650;14949;5225;0.000000650;0.000000660;
BTC-DOGE;2018-01-02T16:31:18.12;1831093153.41;0.000000650;14969;5234;0.000000650;0.000000660;
BTC-DOGE;2018-01-02T16:36:13.567;1820582728.61;0.000000650;14979;5253;0.000000650;0.000000660;
BTC-DOGE;2018-01-02T16:41:14.01;1818693402.36;0.000000660;14986;5250;0.000000650;0.000000660;
BTC-DOGE;2018-01-02T16:46:11.63;1814096952.34;0.000000650;14985;5246;0.000000650;0.000000660;
BTC-DOGE;2018-01-02T16:51:11.21;1813672464.02;0.000000660;14978;5245;0.000000650;0.000000660;
BTC-DOGE;2018-01-02T16:56:11.41;1814975942.4;0.000000660;14973;5241;0.000000650;0.000000660;
BTC-DOGE;2018-01-02T17:01:20.18;1814580936.35;0.000000660;14916;5257;0.000000660;0.000000670;
BTC-DOGE;2018-01-02T17:06:17.623;1820883769.49;0.000000660;14907;5250;0.000000660;0.000000670;
BTC-DOGE;2018-01-02T17:11:23.56;1818825286.15;0.000000660;14911;5249;0.000000650;0.000000660;
BTC-DOGE;2018-01-02T17:16:24.823;1782372624.68;0.000000660;14915;5263;0.000000660;0.000000670;
BTC-DOGE;2018-01-02T17:21:16.68;1764484844.91;0.000000670;14940;5253;0.000000660;0.000000670;
BTC-DOGE;2018-01-02T17:26:29.62;1756165698.91;0.000000650;14956;5248;0.000000650;0.000000660;
BTC-DOGE;2018-01-02T17:31:23.777;1751696789.44;0.000000660;14960;5256;0.000000660;0.000000670;
BTC-DOGE;2018-01-02T17:36:28.307;1751185611.67;0.000000660;14966;5271;0.000000660;0.000000670;
BTC-DOGE;2018-01-02T17:41:29.347;1744294152.21;0.000000660;14973;5270;0.000000660;0.000000670;
BTC-DOGE;2018-01-02T17:46:38.66;1739756678.17;0.000000670;14985;5265;0.000000660;0.000000670;
BTC-DOGE;2018-01-02T17:51:41.877;1750647509.02;0.000000660;15008;5229;0.000000650;0.000000660;
BTC-DOGE;2018-01-02T17:56:42.373;1747913622.99;0.000000660;15009;5237;0.000000660;0.000000670;
BTC-DOGE;2018-01-02T18:01:38.403;1743300020.84;0.000000660;15027;5237;0.000000650;0.000000660;
BTC-DOGE;2018-01-02T18:06:36.38;1741612505.42;0.000000650;15023;5232;0.000000650;0.000000660;
BTC-DOGE;2018-01-02T18:11:41.197;1725557659.36;0.000000650;15010;5223;0.000000650;0.000000660;
BTC-DOGE;2018-01-02T18:16:47.737;1724424044.29;0.000000660;15017;5221;0.000000650;0.000000660;
BTC-DOGE;2018-01-02T18:21:53.443;1723105894.73;0.000000670;15025;5245;0.000000660;0.000000670;
BTC-DOGE;2018-01-02T18:26:58.247;1726282809.99;0.000000650;15068;5232;0.000000650;0.000000660;
BTC-DOGE;2018-01-02T18:32:04.33;1763531745.03;0.000000640;15082;4977;0.000000640;0.000000650;
BTC-DOGE;2018-01-02T18:36:59.68;1782218810.01;0.000000640;15065;4818;0.000000640;0.000000650;
BTC-DOGE;2018-01-02T18:42:00.153;1819431831.73;0.000000630;15040;4610;0.000000630;0.000000640;
BTC-DOGE;2018-01-02T18:47:02.663;1898142966.05;0.000000610;15015;4275;0.000000610;0.000000620;
